,45c82f0f888d46efb97087e7880b781e,365522896e3a4ccc90708a53596cebc5,eba2e080d1f74bbea6058511f0e77df8,979274be310c4f5e9d8ce6130feba39d,5988e9eae5054dcf91a8ca8a2f0091ef,8e97623f22ba4aab8faf9b47c9ff262b,7cd381969b134819831707f742a1874a,db607f30378d4255a2833f80e3268a28,f859b09a62604641b622eeee855d03e4,9c9f2012425c413680249415ffb9ed38,0db45b1791504bc99ec48d966c60a4c0,cdb6c5900b8a471ca508f59ebeba72b8,cf86a682705c4b04bf5c8783bd29126c,0e7d5de1370e490aacad639dea9c9168,2f33022c2e98444182b2e14fcf3458f4,8e19b075bc1e4bdc85609f44beaf45d0,e5f201d4c2e1442994e2c099c4645af6,d30d64d50d3843f9a977e8cbabd50e22,0ec52070f4fa48c5853711ef9e0219ca,1aba2d17f9a6401a935bc82e19f3f733,3fc84ce7c68f4c68bc86a048500cf3bd,9fb146447d254de5a4b0ce44ffcb16b7,3e578e603abc4b9782e47a03bc580fb4,94ca3ad739e044d398d27732aed7c782,d44785df48ee4f2ea0ee316a448134b9,93cffc3c050a447dab3ddfc86f19f1d3,051adf651cc24224bd30b3112b6412f0,2afccca99a9c4451a4f348a102401aec,98e6c1f561444abf8d40b73a70cace03,fc5b336ee8a84da9a424023e191ad8e3,84b809309ab84bdbbe14d7daa02c1bf3,efb5a0f8406a417183da138a6ca51c51,9511baa5c0984ec5812a0701ac7c4f9c,5b8a929b75aa44789760e4c2174a50f5,60974262258e4e7890f96f58c2b3a97d,cd7676427e8a4285b87c542329a67396,ee3c5e3a7fa34584a53f8f6dd03a87fb,d23a2b5a39f945239eec2db2d57d8854,973875a280eb43dfb2a26865cef2043e,201c18b2770a4a57bc9a826da89e2a39,358d9f4ebbdf45d6904525e80ee3cfc3,a7fa8b5898d241369ca5984fc5d01d3c,e82ad5d7f1f045cd84bb21a17d98d88b,48964af3a69e4278ab51225e0241c407,b911a722773245bbaaebc7f5a113a76b,dedc99d099b84ff0a89c5dbc94b7d1dd,6249a6e3215048fa910cf76346d1410f,09da314d4d9e478aaa0f1f02ab45d597,1d2f749a2c6b4ba5b65432b62469ffcd,78e7fa390bec4368a74470491078f087,f1766c3131da46e4b3e89fbd182d43c4,1cbfc9a1602c490a9b53ac9a944c07dc,01d86954bb384915b30a5f6b1d7af50c,3ee38610748f4af6801f4cca3a155aa6,447b705589d84b8e8af891d23ba80877,58caed9424ac4a998915f7b30580c14b
7e694662e1384f2988f44dfded2c7db1,0.00026779012737600325,0.020470289582169152,0.00026779012737600325,0.00011803444517373212,0.029617547996741996,0.0594321573876133,0.02596832756217586,0.0594321573876133,0.058212165475096604,0.00021748500262349605,0.00020302009025043513,0.0453553404147968,0.03951744331919422,0.13755454961659924,0.00014530738333403618,0.021463417241151164,0.000338262370753365,0.0453553404147968,0.07440942975637295,0.00031313853505407334,0.05846614491822989,0.00014355760163181817,0.00011803444517373212,0.00024525010416084404,0.06460897765146008,0.040232138597304394,0.0453553404147968,0.10061444926299701,,0.00012767271687566436,0.00020302009025043513,0.00013471485462294828,0.07058370178972923,0.08502493233554485,0.20651616849715104,0.10728208736067282,0.036599015375148536,0.06460897765146008,0.014187700166393176,0.0694229859032523,0.0453553404147968,0.00011428608225109055,0.057708156747250404,0.0453553404147968,0.02410045071754588,0.00014887638319152968,0.057708156747250404,0.0003678684337520896,0.03961597600803689,0.0453553404147968,0.07519040572215636,0.00026033291603112265,0.07376170850208812,0.0427036981478817,8.677477786840513e-05,0.00010959258538965266
1a331015f85c4e06a97f9e717ffdbec2,0.0004962316746865711,0.019598940790032493,0.0004962316746865711,0.08409434402305394,0.12227906555744429,0.024514656850047126,0.13074295607716882,0.024514656850047126,0.00032295951554957487,0.06075115628829024,0.00037620878845371513,0.08404625200544631,0.09027371362896783,0.008211758261421905,0.00026926357174821594,0.07754924715161761,0.0006268211019098003,0.08404625200544631,0.08651473459420383,0.025770194895884797,0.17906559650589293,0.1191576983914913,0.06572355998999463,0.0004544636170769352,0.00037182457414682176,0.05197709317082152,0.08404625200544631,0.00047001765141113373,,0.00023658544371218907,0.00037620878845371513,0.06864999018534323,0.0002140173384026929,0.0002480049799102288,0.0002637318335140254,0.00896306789093763,0.07466971364357224,0.00037182457414682176,0.0004824101319631712,0.00021255047972019628,0.08404625200544631,0.00021177918149759199,0.016021695569078006,0.08404625200544631,0.011578965550418322,0.10606786660105112,0.016021695569078006,0.0006816829684270263,0.03365891850993773,0.08404625200544631,0.1336993843026753,0.00048241300067337304,0.061540818892067674,0.00018500097774878653,0.03627862000599823,0.0610229907864081
f51edcfcbe02465cb51339322074b82d,0.0005863412930489049,0.00013260020702069298,0.0005863412930489049,0.07814152101345849,0.056169761963013036,0.038497287090289864,0.0732347625869469,0.038497287090289864,0.04006358852896907,0.00047619544046130616,0.00044452371489111375,0.09930802605035946,0.127865957433256,0.012815404535606555,0.00031815855150628094,0.05426317863715624,0.0007406441671347783,0.09930802605035946,0.00028143081845109275,0.0006856341394888113,0.1528996682826789,0.0003143273077039608,0.0002584429451736313,0.0005369886657252992,0.0004393433807511558,0.0001690805149017127,0.09930802605035946,0.0005553671229436971,,0.00027954647407457775,0.00044452371489111375,0.043748595362262506,0.06071577114990345,0.000293039658733954,0.0003116223170930062,0.013987910657587005,0.0002819161945008478,0.0004393433807511558,0.09011290002756948,0.0002511470538353314,0.09930802605035946,0.0002502356972649275,0.025160124319457293,0.09930802605035946,0.0181833571536276,0.0419934811175827,0.025160124319457293,0.000805468279326134,0.0003788178130487221,0.09930802605035946,0.23982236802633877,0.0005700133164153343,0.09879158849533345,0.030842687245994264,0.00018999817490639685,0.00023995902633003379
a167423f187d42ffa520b1be4bf51ff3,0.0001815321591478511,0.027712142178058008,0.0001815321591478511,8.001433023750199e-05,0.013245798593842,0.11954585115424868,4.2619227806002204e-05,0.11954585115424868,0.06916174565145447,0.00014743083509230655,0.00013762522052131353,0.030745916419925714,0.04982584423158071,0.015039191024123053,9.850237309053165e-05,0.016799962917513508,0.00022930456444762812,0.030745916419925714,8.71314108861724e-05,0.00021227337593721486,0.10256022868951387,9.7316214162443e-05,8.001433023750199e-05,0.00016625251041104257,0.00013602138116583517,5.234758544863097e-05,0.030745916419925714,0.010594490863831163,,8.654801499149108e-05,0.00013762522052131353,0.12117111254399249,7.829211942155076e-05,9.072552555408576e-05,9.64787449411847e-05,0.03913573657489174,0.0255907575349619,0.00013602138116583517,0.19516157762629577,0.0340100198373066,0.030745916419925714,7.747335375982378e-05,0.02994724860774575,0.030745916419925714,0.03228613503062962,0.000100921761200458,0.02994724860774575,0.0002493742085106429,0.01907529820452212,0.030745916419925714,0.050970798780721284,0.00017647699266384827,0.05387245801533386,0.1249981963128164,0.025729315151972347,0.05423354887726461
52fad18ebfe840559d6aa3dd464cdaf8,0.0001628341582096048,0.032017421964392126,0.0001628341582096048,0.20786040107486817,0.06681749269062441,0.00010359127896422643,0.06430729215564117,0.00010359127896422643,0.06753993509603069,0.00013224530595067833,0.00012344967986497172,0.027579055094826894,0.09833515628529177,0.0588595001087335,8.835652635399735e-05,0.030073844492566032,0.00020568595614531694,0.027579055094826894,0.2265654339933364,0.00019040899774069883,0.18345670851235032,8.729254302749041e-05,7.177277111719517e-05,0.00014912832916269612,0.00012201103762891455,0.19787628954487615,0.027579055094826894,0.00015423225181973376,,7.763347955539663e-05,0.00012344967986497172,8.191556636461266e-05,7.02279498040388e-05,0.1414323411356986,8.654133400584823e-05,0.1410821973068737,7.829157994057896e-05,0.00012201103762891455,0.0001582987377813453,6.974661273717855e-05,0.027579055094826894,0.06042148869823988,6.770267865989239e-05,0.027579055094826894,4.892908996391872e-05,0.06951999051764465,6.770267865989239e-05,0.00022368840602476626,0.00010520234619983895,0.027579055094826894,9.408883192434222e-05,0.00015829967912393725,0.025287038085006024,0.06639721162221575,0.04587663831846931,0.11665071962030188
670fa1c09a1b40baa18010a111740656,0.0003666534615654985,0.014481178550767602,0.0003666534615654985,0.04954656688517881,0.04108284481542139,0.018113281057355646,0.034007291017392756,0.018113281057355646,0.06313755433643087,0.0658713056607234,0.0002779714830679466,0.06209972237033632,0.025329858787863504,0.04885023303372517,0.10604852357800564,0.00014693253428012221,0.0004631427990619316,0.06209972237033632,0.047792392185496656,0.03885665465360351,0.038556740839648086,0.00019655650523083362,0.00016161065507148362,0.00033579206418470243,0.044368095417604246,0.017074982228230857,0.06209972237033632,0.02480730046206361,,0.00017480720461440343,0.0002779714830679466,0.00018444917389521008,0.00015813218293641825,0.029593279674820852,0.08798757562101041,0.039647333578017405,0.0001762890483929925,0.044368095417604246,0.028044526471399035,0.025362659224237923,0.06209972237033632,0.00015647846347705422,0.03031952100285059,0.06209972237033632,0.00855541477292849,0.10276840622771002,0.03031952100285059,0.0005036788919648895,0.019382312785515794,0.06209972237033632,0.08897158602051625,0.0003564431809251414,0.014375103705633696,0.04222912434345303,0.00011881047667360353,0.0001500522113670326
ad0b5409a630447dae321c43ce3613dc,0.12147356700409553,0.20262092268996684,0.12147356700409553,0.09055877545024214,0.02799134275609303,6.138889448176409e-05,0.09603612451051909,6.138889448176409e-05,0.03536502534448602,0.06910948476017449,7.315711753742703e-05,0.016343535093410258,0.04030975352816638,0.09748386650201221,5.236067676115747e-05,0.06020453071513048,0.00012189089259672224,0.016343535093410258,0.33519510780427775,0.07107855693699291,0.011005704697174698,5.173015302581632e-05,4.2533030934957925e-05,8.837445926671109e-05,7.230456839130806e-05,2.7826283924994146e-05,0.016343535093410258,0.06143693466554743,,4.60061265034119e-05,7.315711753742703e-05,0.05325275351380372,4.161755934763168e-05,4.822675605142598e-05,0.01872942792303351,6.564447388143067e-05,0.0700810916086233,7.230456839130806e-05,9.380890560885271e-05,4.133231573732882e-05,0.016343535093410258,4.1182329994147784e-05,0.1096327212668173,0.016343535093410258,2.8995710555142664e-05,5.364674525685972e-05,0.1096327212668173,0.00013255926648989916,0.06651159782678842,0.016343535093410258,0.1869355241753159,0.2768223613684772,0.03278426029853876,0.05237234224881113,0.09526162942616193,3.949105549451476e-05
a647f4b8d11d4fababaf90b4ea233bb8,0.0,0.06522805913449112,0.0,0.0,0.0,0.011498774352451727,0.0,0.011498774352451727,0.0,0.0,0.0,0.0,0.030104745884618565,0.02532901912488845,0.0,0.01880471148483309,0.0,0.0,0.0,0.0,0.006702079450964413,0.05649450378577432,0.0,0.0,0.0,0.013531550916094011,0.0,0.0,,0.05378548675708831,0.0,0.02621235642073286,0.0,0.0,0.02443363623612129,0.0040986294509245975,0.024845417035086057,0.0,0.04221199054735135,0.1717127561595235,0.0,0.024291990991763518,0.007515090389370452,0.0,0.047284719890860735,0.06596002162013735,0.007515090389370452,0.0,0.010105624388814462,0.0,0.024046409230133025,0.0,0.009125683705826958,0.03257597489538601,0.0,0.03517453435821906
35baae3920e94efca41a420be7ee4854,0.0002578200527544683,5.830561956767565e-05,0.0002578200527544683,0.0001136399133893649,0.00015390509294915943,0.050454872948648435,6.0529724390865654e-05,0.050454872948648435,0.049197192593154686,0.00020938783441767778,0.00019546146413788418,0.04366671905727484,0.06126981569713682,0.05922076217103377,0.00013989745478627393,0.13896625222255843,0.0003256685491994693,0.04366671905727484,0.017024756623931717,0.00030148009718722975,0.06421608521395061,0.0001382128190784712,0.0001136399133893649,0.0002361192154929821,0.000193183620095373,0.059255718999318044,0.04366671905727484,0.00024420040449632573,,0.0001229193433033922,0.00019546146413788418,0.07120530406678885,0.11508524575827676,0.0001288524297531231,0.02508918998885152,0.01810108875112798,0.018234547137968675,0.000193183620095373,0.00025063898984399233,0.0001104318379697569,0.04366671905727484,0.00011003110549219617,0.03297507361838518,0.04366671905727484,0.11633405404919303,0.000143333577471438,0.03297507361838518,0.00035417235103479903,0.044364365608754425,0.04366671905727484,0.0001489735807097343,0.0002506404802990626,0.06381981666594777,0.1451862265046572,8.354407246827525e-05,0.0001055123518686924
602d850a414a4525a73271d3d0858785,0.00028371272638534243,6.41612090076075e-05,0.00028371272638534243,0.00012505268426345138,0.00016936166546664713,0.00018049139386868316,0.04164683436606574,0.00018049139386868316,0.02094327936943841,0.05089170734777685,0.00021509151170115437,0.048052134749349995,0.06352704056869234,0.0001768252693878763,0.00015394725075781006,0.00011369490340369911,0.000358375196204513,0.048052134749349995,0.007575521531785461,0.00033175751618266846,0.041072879689839324,0.00015209342835524473,0.00012505268426345138,0.00025983249038925323,0.00021258490549780796,8.181292095592076e-05,0.048052134749349995,0.06939304646297922,,0.00013526404033169947,0.00021509151170115437,0.00014272489827833228,0.00012236107783791502,0.00014179298218299974,0.03465295872390624,0.00019300335493344618,0.012598992859501697,0.00021258490549780796,0.011636570293281063,0.00012152242424673507,0.048052134749349995,0.00012108144650840458,0.00011796119289334598,0.048052134749349995,8.525118848434746e-05,0.00015772846065512875,0.00011796119289334598,0.11464552625676976,0.00018329842332019024,0.048052134749349995,0.00016393488516890808,0.00027581211487804393,0.015596719347402557,0.00010577142584502313,9.193434071585499e-05,0.00011610887786337055
