Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Austria;AUT;;;;;;;;;;;4222754697,01;4883423835,22;6036690874,46;8127807997,75;10716325088,34;11418675831,56;13387942011,20;16661465323,45;18958761489,62;23982629953,68;28828883216,34;25143195956,45;23075814309,91;23074387927,07;22995355202,53;24397666932,69;31708292924,74;39047892903,79;44657529254,43;47283383255,33;59578835773,93;61623796110,78;67252988980,72;60542945699,75;68853040597,52;83696833629,04;85017442162,72;80519032585,41;84196220542,46;84492009375,67;82683895338,12;84695659955,26;88826566911,35;109433239277,65;132172572634,72;143496791443,85;158748036632,79;187241938133,04;210090420389,63;167491372603,50;187158711051,02;220535791188,09;209537698503,44;217722805420,51;221515007769,41;188382123647,74;192150177166,06;212334535025,06;238560132898,35;232347953231,61
Azerbaiyán;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3474320239,19;3622902229,55;2725096546,56;3019037459,25;1015000340,35;1630233381,05;1776447337,83;2102007528,23;2424529283,65;1917519517,82;2023511150,01;2129925910,02;3121065624,36;4769089798,41;6312201078,66;7007086947,32;8132639355,27;9423610301,83;11464094449,85;10235008708,63;10940949296,13;15881853868,56;17621945010,18;19475589547,48;19721280122,40;18473453054,85;16529046813,31;17104055310,25;17705176470,59;17712411764,71
Burundi;BDI;26250000,00;29750000,00;35000000,00;33250000,00;31500002,00;19928888,89;21494857,14;21192000,00;24488000,00;23004571,43;28208000,00;35832000,00;37205714,29;40576812,54;53633015,87;79994920,63;74673623,19;94676666,67;123426666,67;177800000,00;214223333,33;213555555,56;272632222,22;268000000,00;232495196,73;239045071,67;268172621,53;291223994,01;280918091,10;255573911,40;314442789,99;332769069,98;319246482,29;254942339,37;263464979,04;272899694,10;136902390,42;140485312,90;173751546,01;129001348,57;141321270,48;138400674,41;140218224,20;164737396,32;225367196,23;322845670,19;446954632,11;433983778,27;591543765,04;520184945,41;605576379,83;764650793,89;793324476,52;919359821,30;924140616,20;832256768,77;742622308,71;854981478,32;905279155,07;985821794,29
Bélgica;BEL;;;;;;;;;;;11422513916,90;12470410328,10;15284572449,82;22015693438,21;29348848384,42;29954319403,31;34320538140,02;39904208216,09;47131229665,68;60077552283,98;67141114636,50;58814105823,56;55093659721,00;52310487573,96;53192322675,23;52988261430,80;66063110890,37;80749672609,40;92534612177,73;100782764127,76;122899593191,70;122855235676,31;132088996235,89;118889056669,78;134214479141,55;162055281882,87;161993745928,34;153905164636,90;156499555456,77;156461964628,17;164593790307,72;160765011185,68;167805383022,77;202105643340,86;243279115967,22;270849023753,26;296811441475,35;348823706542,57;413249597187,64;320441789385,94;356614131768,44;422278559134,63;398639664307,64;409627748603,30;422300543807,25;353023497288,37;372196820230,73;412988166685,41;452661044562,35;432984753529,41
Benin;BEN;27392931,59;22470098,07;23547272,22;29521371,22;33034384,35;43212954,82;49061969,22;60547029,30;62251308,85;70874399,43;81609765,59;93259568,23;109969562,46;130886423,39;163593479,06;226162498,38;216705681,72;260873171,45;320872304,69;439164032,24;524469482,15;567561768,14;508205482,67;345886049,66;325135991,28;383239061,75;435776317,70;483576008,71;519825023,28;372643203,01;520152807,12;602729559,61;567957714,40;748725692,94;576481292,40;790421188,97;708783113,71;715320118,38;797921924,98;1153626144,17;939007989,59;1039879143,32;1003657772,97;1226073343,91;1321690423,80;1353205875,77;1526225059,91;2208516281,12;2498935557,04;2403039865,41;2704110347,67;2819548546,35;2990340731,08;3959347852,68;4495143591,19;3648295525,95;3709467139,70;4352985123,14;4923520371,59;4900152309,44
Burkina Faso;BFA;52340174,82;55303956,09;59614687,01;61742281,23;47262666,46;48113645,22;50541606,43;62777892,68;70389699,50;79074242,05;73994573,51;96149821,83;123177211,94;154655047,29;183824303,32;283412263,56;263748343,59;344381930,77;409486806,90;511997958,83;602966359,73;558238164,60;554828007,51;473268805,40;419829355,82;481677884,15;589940838,72;665476559,09;709757519,10;618479382,66;758453092,89;731992034,93;437468498,23;482110691,89;474345862,23;633116355,18;714319767,83;651175221,48;789066274,07;905163660,48;776980431,28;721473318,39;813114645,36;1002568435,38;1341080369,14;1495427431,22;1581180935,43;1786796535,64;2385163527,58;2505097553,57;2887043283,24;3781344566,97;4351201613,42;4968861222,40;4446645376,58;3902427844,37;4103751297,66;4629394614,75;5167111747,76;5014108854,76
Bangladesh;BGD;397875421,69;563656831,77;549204082,35;620050850,37;760610844,78;789516322,80;814737821,80;913639901,20;868581340,49;988170710,74;1124763246,98;938861337,70;863537083,33;958701323,74;1294857682,65;1575422622,80;1784273649,83;1194951861,67;2056130687,83;2459010308,80;3243617764,86;2858506731,95;2877295409,18;2590824915,82;2538320000,00;2860038461,54;2577133333,33;2842322580,65;3255865305,00;3679750953,74;4126170021,39;3785238095,24;3915198938,99;4677910052,91;4681795511,22;6580597014,93;7601784841,08;7625081967,21;8058876651,98;8525935940,10;9060862651,56;10102557449,96;9060891520,11;9761830742,66;10229675556,31;13891430894,31;15626727218,58;18268578048,07;22873050575,72;23726338034,72;25106319010,51;35373857176,77;37272043676,62;40135237754,48;44128009984,50;48280651359,49;47171578943,33;50611162553,98;64245546188,58;64859332297,64
Bulgaria;BGR;;;;;;;;;;;;;;;;;;;;;6088384615,38;6859642857,14;6424733333,33;6118555555,56;6729388888,89;7411526315,79;8802352941,18;11977307692,31;10352294117,65;10589277777,78;7577727272,73;4290322580,65;5479381443,30;4963768115,94;4429059040,59;4351577380,95;4588656548,62;4174189904,27;5276354237,67;6449155466,07;5500577403,10;6269113379,41;6827243139,14;9430015005,48;13630160624,72;17080644177,63;22027000577,18;31626174947,52;39341595243,44;26258237719,49;26837706782,18;33700520440,81;34493513797,63;36290976520,09;37432412834,08;31914822602,58;31796805429,86;37119719965,43;41903595654,80;41807781911,85
Bahrein;BHR;;;;;;;;;;;;;;;;;;;;;3540992040,33;4161702127,66;3892819148,94;3471808776,60;3665159574,47;3280851063,83;2588829787,23;2964627659,57;2869148936,17;3385638031,91;4001596010,64;4414893617,02;4596276329,79;4198138297,87;4119148936,17;4122340425,53;4649734042,55;4413031914,89;3950532180,85;4168882978,72;5132180851,06;4794680851,06;5624202127,66;6205053191,49;8170478723,40;10286968085,11;11559042553,19;12626329787,23;16276329787,23;11353989361,70;13097074468,09;21506648936,17;25749202127,66;28331382978,72;26548936170,21;22301861702,13;21088031914,89;23876329787,23;27048670212,77;
Bahamas;BHS;;;;;;;;;;;;;;;;;;471600000,00;562000000,00;686200000,00;839600000,00;889700000,00;939900000,00;1005300000,00;1190100000,00;1375500000,00;1431700000,00;1514500000,00;;1750510000,00;1771670000,00;1716350000,00;1592260000,00;1589080000,00;1739670000,00;1883080000,00;2086690000,00;2713700000,00;2943000000,00;3015600000,00;3359600000,00;3196400000,00;3028700000,00;3127000000,00;3421700000,00;4193800000,00;5006500000,00;5088400000,00;5045700000,00;4225400000,00;4414100000,00;5125700000,00;4944670000,00;4787200000,00;5330100000,00;4480000000,00;4453400000,00;4996500000,00;4998900000,00;4980200000,00
