Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Austria;AUT;;;;;;;;;;;4210936226,51;4828104967,51;5940800642,90;7945377046,88;10245142815,08;11254488425,38;12352078699,09;14409079177,42;18066572538,61;22832410705,10;26006990002,13;23441765163,30;22623842865,21;21981186609,47;22265892304,52;24230778797,55;31689309598,92;38996595559,43;44096573052,49;46607267810,71;59423124773,08;60116254566,88;64678675181,57;59900881343,90;65453950126,49;80827705745,87;81256732518,85;78792186266,77;83704902178,75;85477892606,01;85305371291,69;88047337807,61;96701496329,76;116638893905,19;141025428358,58;153625979355,80;170827273867,77;204299603065,97;229126805331,77;180907557654,90;200892688044,94;232583677064,39;220981850149,85;229834282276,74;235966614250,84;202703358781,36;207303260908,56;225532509835,27;253446654971,69;247353333587,29
Azerbaiyán;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3885196371,82;4014478401,51;4302724069,24;2281805933,31;819242649,71;991644243,37;791908858,41;1150564617,31;1009305138,60;1281380203,07;2118054168,34;2368624503,38;2666940958,65;3056403991,04;4235066653,10;8337000211,55;13954555630,18;22516839529,19;32133276533,59;22870241353,57;28728665753,08;37214511839,94;36914842158,86;35907329509,24;32560882315,44;20059340230,33;17580998934,64;19839356263,07;25484470588,24;23629647058,82
Burundi;BDI;24499998,00;26250000,00;28000000,00;17500000,00;36750000,00;16452740,74;17828571,43;19257142,86;18861714,29;18371428,57;25945142,86;21329142,86;28961142,86;33526603,85;33674920,63;34839365,08;61551304,35;96342222,22;71443333,33;110822222,22;81022222,22;88603333,33;103470000,00;97956966,11;113561106,01;126803836,27;140881024,79;110260311,59;136282900,39;108560193,99;89130244,37;115775316,37;94756920,93;88062144,15;95016968,85;129318804,20;50580560,20;95688945,65;71499431,18;61217971,47;55005758,53;45410971,28;38676369,53;50072047,44;63635537,87;69261008,83;92956376,48;92221558,66;169242773,92;117576040,95;197117152,22;196752242,71;226330906,45;223097905,28;205732033,51;177973982,16;196892749,28;236167733,24;285503118,55;275062068,74
Bélgica;BEL;;;;;;;;;;;12006111335,22;13052184853,22;16423224269,09;22932275926,31;29637776512,01;30156821322,80;34528907001,04;39354961170,51;46332075060,84;58067512383,05;63563403228,03;56620736636,25;53510783153,81;52655467455,62;53687392488,13;53878264148,38;68750421708,51;83463311723,39;96418786615,47;104389986691,24;126512468614,20;126790048434,73;138072578419,07;126086323460,82;143073453098,63;173144772851,67;170850032573,29;163720906630,58;165908868637,48;166675047943,75;171360235857,75;169391856823,27;182148221343,87;219109255079,01;261315867891,73;286413008332,30;313301467820,85;368272378866,69;416715980665,01;331329674909,70;364802121084,45;421761151361,31;398952014299,41;413789684188,17;426678499805,67;359576861976,54;377878126013,22;418211812445,41;451227129596,55;436269291741,18
Benin;BEN;13852022,33;10801828,34;8317361,99;9703490,05;13861514,15;21069299,10;20739915,27;23474433,63;30461094,82;38939712,02;50633283,06;59595404,50;59023791,05;78995251,90;79408573,24;98337358,60;90731935,28;121349816,86;153492175,48;207784769,86;222261791,96;205681871,99;225297369,53;150766908,09;205805456,70;247338434,73;222807320,06;238541696,09;223654558,26;202741075,39;375946872,31;417201334,67;393976833,80;510965402,21;452687266,88;593804034,83;625667835,20;616436678,88;665156749,25;845840856,52;723503459,03;727789558,53;823513903,25;995095866,26;1143984772,99;1213458997,62;1269086284,29;1798312733,33;2158338688,71;1932930439,96;2199999216,44;2229520361,44;2662421230,53;3451240834,17;4175439095,28;2815204773,52;3263416680,50;3455561315,16;3889961780,11;4264042971,65
Burkina Faso;BFA;16066015,59;19014523,36;20997594,42;21985472,40;11484234,60;19676614,67;21918946,48;22215438,64;28569274,04;27823662,44;25007057,45;26587940,94;37028538,94;42590357,72;62500051,52;69071585,05;80128193,55;90048551,04;110202801,79;144182091,52;172630524,02;164734458,73;143789772,68;126168367,95;160016224,49;154030085,95;183075141,08;269185266,02;287730467,40;228834247,83;340110196,07;327535416,54;198184577,91;208751601,54;269162042,43;336477102,20;273233009,37;264655013,04;359254830,52;281097190,97;261515857,36;288539798,39;321134590,06;437119306,28;593230283,61;604914662,34;717391887,00;789151176,78;959257187,22;1303153901,80;2074074146,57;3164494170,17;3340989789,37;3640311463,71;3755133897,16;3089098202,89;3325889934,22;3731626622,06;4517544324,79;4056716092,89
Bangladesh;BGD;427347691,36;519448521,03;546086853,30;531067333,07;540135770,21;570741539,82;662275557,02;675028035,68;623451537,73;690047514,25;747575116,13;550621082,29;356841000,00;528824097,16;463095606,33;563045020,28;480166471,38;679513484,16;738155879,63;950929356,11;996555891,47;1038984088,13;940219560,88;986784511,78;642600000,00;1199576923,08;1128533333,33;1212483870,97;1442788426,26;1594548362,40;1866930004,60;2062577030,81;2405649867,37;2990714285,71;3039700748,13;4122014925,37;4507555012,22;5075480093,68;5876850220,26;6028722961,73;6588073941,56;7227575982,21;6791241511,41;6876856649,40;7257329709,53;9994813008,13;11744907683,14;13530306979,44;16181037749,60;17359874074,16;18472449276,05;25627346571,28;26886637936,48;29304945498,31;32830360072,31;33820154152,85;36864997680,90;37546818877,68;40560411465,98;46363741962,71
Bulgaria;BGR;;;;;;;;;;;;;;;;;;;;;7084153846,15;7081357142,86;6631000000,00;6153111111,11;7061055555,56;7341684210,53;8106529411,76;11461076923,08;10277764705,88;10207166666,67;6833181818,18;4758064516,13;4876288659,79;4137681159,42;4368450184,50;6139107142,86;5962327150,08;5610034484,81;6304076346,28;5825652718,07;4797489756,51;4947390946,13;5519115551,28;7277457147,80;10713394070,22;12703276793,09;16150904893,22;23262813855,84;28590551192,88;21963725741,10;25395582780,56;33916506221,12;32772597897,50;36043133821,93;36875485008,82;32398958286,10;34460613687,78;39675532699,51;43591843693,42;44009023468,80
Bahrein;BHR;;;;;;;;;;;;;;;;;;;;;3813478376,23;4547340159,57;4337766223,40;3611169946,81;3768351063,83;3716489627,66;3013031914,89;3472340425,53;3529787234,04;3811169946,81;4887765691,49;3923935904,26;4009042287,23;4361702127,66;4520478723,40;4796010638,30;5364361436,17;5020744946,81;3994946808,51;5221808510,64;7176063829,79;6607446808,51;6956117021,28;7980851063,83;10336702127,66;13396808510,64;15662234042,55;17314361702,13;21231382978,72;15704787234,04;17880319148,94;28609308510,64;31409042553,19;34102925531,91;32069148936,17;25805319148,94;23918617021,28;26881914893,62;29959042553,19;
Bahamas;BHS;;;;;;;;;;;;;;;;;;589300000,00;688100000,00;785000000,00;939800000,00;961200000,00;1038300000,00;1153500000,00;1297900000,00;1503600000,00;1577900000,00;1664300000,00;;1648320000,00;1714730000,00;1585170000,00;1562180000,00;1606810000,00;1662790000,00;1699040000,00;1733680000,00;2335400000,00;2368200000,00;2801300000,00;3072900000,00;2834100000,00;3212800000,00;3176400000,00;3460500000,00;3812500000,00;3895000000,00;4257100000,00;4157100000,00;3412900000,00;3528800000,00;3769900000,00;4087430000,00;4189100000,00;4311800000,00;4440500000,00;4364300000,00;4538800000,00;5132000000,00;5328800000,00
